Estudiante,Tiene herman@s,Estrato socioec.,Edad,N° de métodos anticoncep. que conoce,Protección en la primera relación,Importancia de relaciones sexuales en el noviazgo,Influencia del alcohol en las relaciones,N° de relaciones que ha tenido,Relaciones sexuales con alguien diferente a su novio
1,Sí,3,15,5,No,Sí,No,7,Sí
2,Sí,3,17,1,Sí,Sí,No,1,No
3,Sí,3,16,5,No responde,Sí,No,0,No
4,No,3,15,6,Sí,Sí,Sí,3,No
5,No,3,15,3,No responde,No,Sí,0,No
6,No,4,15,8,Sí,Sí,Sí,2,No
7,Sí,3,16,7,Sí,Sí,No,8,Sí
8,No,4,17,9,Sí,Sí,Sí,9,Sí
9,Sí,3,18,8,No,Sí,Sí,3,No
10,Sí,3,16,10,Sí,Sí,Sí,8,No
11,Sí,3,14,11,Sí,Sí,Sí,7,No
12,Sí,2,16,4,Sí,Sí,Sí,7,Sí
13,Sí,3,18,5,Sí,Sí,No,2,No
14,Sí,3,15,6,No responde,Sí,Sí,0,No
15,Sí,3,16,8,Sí,Si,Sí,3,No
16,No,3,17,2,Sí,Si,No,2,No
17,Sí,3,17,9,Sí,No,Sí,3,No
18,Sí,4,17,3,Sí,Sí,No,3,No
19,No,3,14,7,Sí,Sí,Sí,3,No
20,Sí,2,15,9,Sí,No,Sí,2,No
21,Sí,3,16,8,Sí,Sí,Sí,7,Sí
22,Sí,3,18,6,No,Sí,Sí,1,No
23,No,3,19,7,Sí,Sí,Sí,8,No
24,No,3,17,8,No responde,No,Sí,0,No
25,No,2,14,2,No responde,Sí,Sí,0,No
26,Sí,3,15,3,No responde,Sí,Sí,0,No
27,No,3,15,4,No responde,Sí,Sí,0,No
28,No,3,16,3,No responde,No,Sí,0,No
29,Sí,3,19,9,No responde,Sí,Sí,0,No
30,Sí,2,16,7,No responde,No,Sí,0,No
